0,0
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.164,"[249, 2, 1, 6, 4]"
2.168,"[249, 2, 1, 6, 8]"
2.2,"[249, 2, 2]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.2,"[249, 2, 2]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.2,"[249, 2, 2]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.164,"[249, 2, 1, 6, 4]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.168,"[249, 2, 1, 6, 8]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.2,"[249, 2, 2]"
2.2,"[249, 2, 2]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.168,"[249, 2, 1, 6, 8]"
2.164,"[249, 2, 1, 6, 4]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.168,"[249, 2, 1, 6, 8]"
2.2,"[249, 2, 2]"
2.16,"[249, 2, 1, 6]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
2.164,"[249, 2, 1, 6, 4]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.164,"[249, 2, 1, 6, 4]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.2,"[249, 2, 2]"
2.16,"[249, 2, 1, 6]"
2.2,"[249, 2, 2]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.2,"[249, 2, 2]"
2.164,"[249, 2, 1, 6, 4]"
2.16,"[249, 2, 1, 6]"
2.16,"[249, 2, 1, 6]"
